Generation 0 - Individual Bot Performance
==================================================
Format: BotID | Profit% | WinRate | Trades | FinalBalance | Fitness | Sharpe | MaxDD | SurvivedGens
   173 |  -13.39% |  20.10% |   2328 | $     86.61 |   -7.44 |  -0.78 | 17.25% |   0
   174 |   -8.19% |  17.39% |   4175 | $     91.81 |  -16.66 |  -0.39 | 21.15% |   0
   175 |  -88.13% |  27.34% |  10118 | $     11.87 |  401.06 |  -0.98 | 90.32% |   0
   176 |   +0.00% |   0.00% |    465 | $    100.00 |  -30.09 |   0.00 | 50.17% |   0
   177 |   -0.50% |  18.18% |     11 | $     99.50 |    8.01 |  -0.08 |  5.93% |   0
   178 |   -1.71% |  25.48% |   1554 | $     98.29 |   21.59 |  -0.34 |  4.32% |   0
   179 |   -4.20% |  25.00% |      4 | $     95.80 | 9983.71 |  -0.84 |  4.20% |   0
   180 |   +0.97% |  71.43% |     56 | $    100.97 |   66.98 |   0.13 |  7.73% |   0
   181 |  -19.93% |  25.62% |   2479 | $     80.07 |  -59.18 |  -0.22 | 90.06% |   0
   182 |  -48.30% |  27.79% |   4757 | $     51.70 |  -69.02 |  -0.93 | 51.81% |   0
   183 |  -11.06% |  22.05% |   1247 | $     88.94 |  -52.62 |  -0.11 | 100.07% |   0
   184 |  -84.48% |  18.78% |   6401 | $     15.52 |   91.45 |  -0.94 | 90.08% |   0
   185 | -100.00% |  22.81% |   4534 | $      0.00 | 9815.12 |  -0.67 | 148.88% |   0
   186 |  -80.48% |  28.43% |  14835 | $     19.52 | -122.76 |  -0.89 | 90.03% |   0
   187 |   -1.71% |  50.00% |      8 | $     98.29 |    9.67 |  -0.34 |  1.76% |   0
   188 | -100.00% |  42.86% |     98 | $      0.00 |   96.67 |  -0.50 | 200.85% |   0
   189 |   -2.98% |  33.33% |     12 | $     97.02 |    4.24 |  -0.03 | 91.53% |   0
   190 |   -3.41% |  41.46% |    246 | $     96.59 |    3.37 |  -0.20 | 16.97% |   0
   191 |  -44.46% |  31.83% |   2017 | $     55.54 |  -59.94 |  -0.93 | 48.05% |   0
   192 |  -92.33% |  23.23% |  14256 | $      7.67 | -137.49 |  -1.03 | 90.06% |   0
   193 |  -71.91% |  21.07% |   7408 | $     28.09 | -112.04 |  -0.80 | 90.08% |   0
   194 |   +0.00% |   0.00% |      0 | $    100.00 |    0.00 |   0.00 |  0.00% |   0
   195 |   +1.82% |  44.12% |     34 | $    101.82 |   69.34 |   0.36 |  4.82% |   0
   196 |  -25.60% |  26.49% |   5403 | $     74.40 |  -45.61 |  -0.52 | 49.50% |   0
   197 |  -58.23% |  27.32% |   5538 | $     41.77 |  -94.19 |  -0.66 | 87.60% |   0
   198 |  -20.04% |  17.74% |   2170 | $     79.96 |  -50.51 |  -0.20 | 100.07% |   0
   199 |   +2.24% |  69.23% |     13 | $    102.24 | 9999.85 |   0.45 |  2.47% |   0
