bar,open,high,low,close,volume,gpu_value,cpu_value,diff
888,84183.7,84407.1,84175.8,84356.4,12382.0,-91.60156,112.59375,204.19531
889,84350.7,84350.7,84034.2,84086.3,10004.0,-146.79688,-442.79688,296.0
890,84076.6,84152.9,84047.1,84143.1,8864.0,136.60156,326.90625,190.30469
891,84143.0,84386.4,84143.0,84366.4,7931.0,-281.79688,166.49219,448.28906
892,84370.6,84424.5,84153.4,84209.8,9858.0,353.78906,-379.89844,733.6875
893,84209.5,84308.4,84150.1,84244.1,10672.0,-423.79688,190.90625,614.7031
894,84231.7,84277.4,84197.8,84265.0,4751.0,92.69531,-13.40625,106.10156
895,84269.4,84294.7,84186.8,84188.0,4961.0,-79.390625,-97.89844,18.507812
896,84197.3,84214.2,84110.1,84163.8,8754.0,149.29688,52.796875,96.5
897,84167.6,84237.4,84125.5,84197.2,7185.0,118.0,57.609375,60.390625
898,84199.2,84214.4,84134.1,84178.5,4214.0,-240.29688,-52.109375,188.1875
899,84182.8,84243.3,84110.0,84110.1,9177.0,1.796875,-49.695312,51.492188
900,84110.0,84145.0,84000.9,84019.7,11135.0,10.3984375,-22.0,32.398438
901,84028.0,84028.1,83827.1,83878.1,31049.0,-14.3984375,-51.203125,36.804688
902,83878.0,84009.6,83856.5,83953.2,4463.0,-623.89844,216.70312,840.60156
903,83953.2,83980.8,83895.1,83918.3,6474.0,-183.0,-110.00781,72.99219
904,83914.2,83935.5,83852.8,83852.8,6679.0,655.60156,-30.59375,686.1953
905,83841.9,83860.5,83741.6,83755.0,7145.0,-143.70312,-32.296875,111.40625
906,83759.2,83974.9,83745.7,83964.7,7273.0,-285.5,307.5,593.0
907,83964.7,84032.4,83898.7,83969.7,9174.0,34.5,-204.70312,239.20312
908,83969.7,84129.4,83968.1,84078.1,7156.0,100.796875,103.39844,2.6015625
909,84073.9,84201.0,84073.0,84196.5,8198.0,-220.0,10.0,230.0
910,84201.7,84201.7,84025.3,84045.2,8063.0,-307.89844,-269.6953,38.203125
911,84037.6,84037.8,83930.5,83979.7,5928.0,-140.70312,85.796875,226.5
912,83977.9,83988.5,83936.0,83982.1,8969.0,465.3047,67.89844,397.40625
913,83979.3,83979.3,83847.1,83847.1,3779.0,711.39844,-137.39844,848.7969
914,83847.2,83916.9,83827.6,83827.6,7451.0,-754.39844,115.5,869.89844
915,83826.8,83826.8,83671.6,83685.5,10288.0,-33.101562,-122.60156,89.5
916,83677.2,83750.0,83586.7,83735.2,11544.0,179.20312,191.80469,12.6015625
917,83728.8,83728.8,83536.6,83616.9,42094.0,-79.39844,-168.00781,88.609375
918,83619.0,83698.3,83610.0,83610.6,4024.0,177.79688,112.00781,65.78906
919,83608.5,83630.5,83587.0,83611.6,4610.0,333.8047,7.296875,326.5078
920,83615.8,83753.0,83608.5,83696.0,8401.0,646.6953,83.39844,563.2969
921,83696.0,83808.4,83672.4,83771.7,8045.0,144.20312,-8.6953125,152.89844
922,83771.9,83797.2,83687.7,83743.3,7048.0,-61.0,-104.109375,43.109375
923,83749.0,83833.7,83689.7,83817.0,7983.0,-432.8047,102.109375,534.91406
924,83825.4,83826.3,83705.9,83740.7,7670.0,46.601562,-150.0,196.60156
925,83740.1,83775.0,83627.8,83677.6,7738.0,-2.703125,13.1953125,15.8984375
926,83666.0,83684.1,83608.1,83608.1,5996.0,95.89844,-6.3984375,102.296875
927,83608.2,83629.2,83549.2,83576.1,6533.0,-46.59375,37.5,84.09375
928,83583.8,83622.3,83548.1,83548.2,7330.0,-35.398438,4.1015625,39.5
929,83555.1,83706.1,83555.1,83672.0,10687.0,9.9921875,151.69531,141.70312
930,83678.4,84299.9,83579.7,84099.8,48233.0,-607.78906,304.0,911.78906
931,84092.4,84256.8,83848.1,83896.1,20421.0,107.19531,-631.4922,738.6875
932,83897.1,84299.9,83792.0,84270.3,17872.0,429.6953,577.8906,148.19531
933,84261.5,84293.4,83986.8,84269.2,10392.0,-136.59375,-375.28906,238.69531
934,84269.3,84820.2,84269.3,84762.7,44408.0,314.59375,494.59375,180.0
935,84762.7,84900.0,84485.0,84890.9,32741.0,274.40625,-365.3047,639.71094
936,84890.9,85001.8,84816.5,84976.8,62131.0,-94.0,-42.296875,51.703125
937,84972.3,85140.8,84857.4,84864.4,30059.0,45.492188,-198.29688,243.78906
938,84860.9,84992.7,84711.4,84800.2,12249.0,97.10156,48.203125,48.898438
939,84797.1,85040.4,84796.9,84863.8,11989.0,-51.695312,127.78906,179.48438
940,84855.5,85041.6,84700.0,85007.8,10696.0,399.29688,80.40625,318.89062
941,85007.8,85267.7,85007.8,85169.7,18893.0,-16.398438,17.90625,34.304688
942,85171.3,85279.8,84913.6,85028.8,11743.0,-458.5,-302.8125,155.6875
943,85028.8,85028.8,84774.4,84815.3,17450.0,-203.0,-72.59375,130.40625
944,84815.3,84968.6,84772.1,84907.1,9999.0,5.90625,305.3047,299.39844
945,84917.0,84984.1,84649.0,84660.5,12520.0,-82.80469,-338.40625,255.60156
946,84656.3,84699.8,84407.8,84436.5,15972.0,-10.703125,22.601562,33.304688
947,84434.9,84539.6,84235.7,84261.3,11651.0,89.0,48.796875,40.203125
948,84265.7,84645.9,84251.6,84645.8,25414.0,-240.79688,559.7031,800.5
949,84640.6,84671.3,84374.2,84546.2,8208.0,-322.70312,-484.09375,161.39062
950,84534.6,84682.1,84494.5,84649.9,18914.0,126.0,203.28906,77.28906
951,84650.6,84986.8,84570.9,84893.5,17548.0,-168.10156,139.90625,308.0078
952,84893.4,85162.0,84781.0,85125.8,20141.0,9.1015625,-11.3046875,20.40625
953,85141.6,85217.2,85078.1,85179.5,8645.0,225.5,-178.59375,404.09375
954,85179.5,85427.9,85162.8,85400.7,20955.0,-156.0,167.5,323.5
955,85403.5,85488.7,85308.4,85417.0,8141.0,-52.304688,-204.90625,152.60156
956,85417.0,85417.0,85030.7,85069.6,20538.0,18.507812,-363.6953,382.20312
957,85055.6,85190.8,85055.6,85060.6,6663.0,5.0,338.39844,333.39844
958,85060.1,85154.7,85000.1,85122.8,11759.0,-9.8046875,71.19531,81.0
959,85122.8,85122.8,84836.1,84836.2,16029.0,217.00781,-348.78906,565.7969
960,84836.2,85103.4,84806.1,84820.4,13616.0,-117.703125,270.78906,388.4922
961,84812.1,84833.6,84582.3,84582.3,12104.0,31.0,-222.29688,253.29688
962,84578.1,84628.0,84460.8,84469.8,16158.0,56.101562,125.60156,69.5
963,84470.8,84551.8,84329.4,84551.7,10543.0,60.09375,194.40625,134.3125
964,84556.0,84601.9,84415.7,84555.3,7480.0,-198.89844,-78.3125,120.58594
965,84539.0,84713.2,84494.4,84632.7,20191.0,67.50781,73.8125,6.3046875
966,84632.6,84788.1,84526.3,84670.7,11339.0,-2154.6094,-39.40625,2115.2031
967,84670.0,84670.5,84503.8,84520.0,8458.0,753.8047,-188.70312,942.5078
968,84520.1,84558.2,84307.6,84440.3,13741.0,582.3047,71.0,511.3047
969,84440.3,84502.6,84340.4,84454.2,4812.0,-532.6094,93.609375,626.21875
970,84454.1,84461.6,84317.9,84424.8,8405.0,74.80469,-43.3125,118.11719
971,84424.8,84466.4,84317.9,84428.5,5970.0,141.29688,33.109375,108.1875
972,84428.5,84469.6,84304.4,84328.8,6193.0,-218.5,-103.40625,115.09375
973,84324.6,84341.3,84047.4,84155.2,19509.0,454.60156,-73.890625,528.4922
974,84155.2,84252.7,84064.1,84174.1,6456.0,576.7969,192.49219,384.3047
975,84174.1,84294.7,84169.0,84187.5,9896.0,-201.70312,-5.5,196.20312
976,84186.0,84243.8,84129.5,84130.9,5068.0,2241.8047,-70.0,2311.8047
977,84124.0,84124.0,83836.9,83943.2,13960.0,-1087.6953,-131.09375,956.60156
978,83943.3,84075.7,83943.3,84063.2,18572.0,-483.60938,307.6953,791.3047
979,84067.1,84202.8,84029.6,84184.1,18730.0,260.60938,0.8984375,259.71094
980,84184.6,84201.2,83800.1,83860.5,9955.0,-328.40625,-444.5,116.09375
981,83860.4,83911.7,83750.0,83803.1,9483.0,121.0,266.20312,145.20312
982,83803.4,84003.3,83686.4,83926.7,14106.0,66.30469,181.0,114.69531
983,83936.7,84116.6,83895.2,84063.1,5934.0,-460.0,12.796875,472.79688
984,84063.0,84068.0,83884.0,84056.9,11360.0,-196.60156,-142.60156,54.0
985,84058.9,84344.3,84000.1,84130.2,22610.0,4.203125,79.50781,75.30469
986,84143.8,84143.8,83805.5,83890.7,6890.0,-148.79688,-312.8047,164.00781
