BotID,Cycle,EntryPrice,ExitPrice,EntryBar,ExitBar,Leverage,PnL,Direction,ChunkID,OutOfCycle,Signature
1,4,26227.5,26272.0,43636,43708,19.0,0.02,LONG,0,0,43636:43708:LONG:2
1,4,26207.0996,26272.0,43664,43708,19.0,0.03,LONG,0,0,43664:43708:LONG:3
1,1,25756.0,25845.9004,12898,13474,19.0,-0.08,SHORT,0,0,12898:13474:SHORT:-8
1,1,25720.5,25845.9004,12955,13474,19.0,-0.11,SHORT,0,0,12955:13474:SHORT:-11
1,3,29304.0,29859.1934,33501,33697,19.0,0.35,LONG,0,0,33501:33697:LONG:35
1,3,29259.4004,29859.1934,33502,33697,19.0,0.38,LONG,0,0,33502:33697:LONG:38
1,0,29289.1992,29178.0996,3368,3486,19.0,-0.09,LONG,0,0,3368:3486:LONG:-9
1,1,26185.9004,26326.4004,13526,13572,19.0,0.09,LONG,0,0,13526:13572:LONG:9
1,2,26758.8008,26818.0,23513,23710,19.0,0.03,LONG,0,0,23513:23710:LONG:3
1,2,26841.5996,26818.0,23643,23710,19.0,-0.03,LONG,0,0,23643:23710:LONG:-3
1,2,26818.0,26867.5996,23710,23726,19.0,-0.05,SHORT,0,0,23710:23726:SHORT:-5
1,2,26829.6992,26867.5996,23719,23726,19.0,-0.04,SHORT,0,0,23719:23726:SHORT:-4
1,2,26867.5996,26918.5,23726,23730,19.0,0.02,LONG,0,0,23726:23730:LONG:2
1,4,26401.5996,26080.8262,43710,43892,19.0,0.22,SHORT,0,0,43710:43892:SHORT:22
1,4,26272.0,25915.5,43708,43893,19.0,0.24,SHORT,0,0,43708:43893:SHORT:24
1,1,25845.9004,26155.8008,13474,13669,19.0,0.21,LONG,0,0,13474:13669:LONG:21
1,0,29178.0996,29153.4004,3486,3631,19.0,0.0,SHORT,0,0,3486:3631:SHORT:0
1,4,25915.5,26320.1992,43893,43989,19.0,0.28,LONG,0,0,43893:43989:LONG:28
1,4,26101.0996,26320.1992,43915,43989,19.0,0.15,LONG,0,0,43915:43989:LONG:15
1,2,26918.5,27091.6992,23730,23892,19.0,-0.14,SHORT,0,0,23730:23892:SHORT:-14
1,2,26777.5,27091.6992,23755,23892,19.0,-0.24,SHORT,0,0,23755:23892:SHORT:-24
